,Prediction
2021-04-02 05:30:00,264.4214406525065
2021-04-03 05:30:00,261.43926027567153
2021-04-04 05:30:00,285.5389866616439
2021-04-05 05:30:00,280.5320062379835
2021-04-06 05:30:00,276.6246867009624
2021-04-07 05:30:00,284.14549299657654
2021-04-08 05:30:00,266.0495426697803
2021-04-09 05:30:00,280.5492649224116
2021-04-10 05:30:00,270.0052070250155
2021-04-11 05:30:00,284.29175118719695
2021-04-12 05:30:00,285.11922510715135
2021-04-13 05:30:00,278.09843194594265
2021-04-14 05:30:00,283.88363584807837
2021-04-15 05:30:00,279.13707637357436
2021-04-16 05:30:00,280.7332207590884
2021-04-17 05:30:00,282.832076203876
2021-04-18 05:30:00,273.42135979157865
2021-04-19 05:30:00,259.26009908422486
2021-04-20 05:30:00,226.16345131793955
2021-04-21 05:30:00,209.04412196373082
2021-04-22 05:30:00,253.08043572974532
2021-04-23 05:30:00,261.70777922514407
2021-04-24 05:30:00,207.32528405097312
2021-04-25 05:30:00,225.84658204751526
2021-04-26 05:30:00,260.72784798082006
2021-04-27 05:30:00,251.9531203464113
2021-04-28 05:30:00,294.75503336867337
2021-04-29 05:30:00,242.31424911919456
2021-04-30 05:30:00,222.72454549891106
2021-05-01 05:30:00,241.22343056590591
2021-05-02 05:30:00,238.95240384367062
2021-05-03 05:30:00,258.3656272160243
2021-05-04 05:30:00,263.6977791123736
2021-05-05 05:30:00,245.45227621661084
2021-05-06 05:30:00,251.94499599428846
2021-05-07 05:30:00,259.0117812886731
2021-05-08 05:30:00,269.7886768740478
2021-05-09 05:30:00,256.6591754301025
2021-05-10 05:30:00,238.74173939423196
2021-05-11 05:30:00,236.77770493291905
2021-05-12 05:30:00,237.2841932419868
2021-05-13 05:30:00,243.76127798860097
2021-05-14 05:30:00,255.84781706746466
2021-05-15 05:30:00,262.75479408120856
2021-05-16 05:30:00,254.07366719610667
2021-05-17 05:30:00,266.0638879330023
2021-05-18 05:30:00,265.0316600420101
2021-05-19 05:30:00,272.21714752341813
2021-05-20 05:30:00,271.9608803824167
2021-05-21 05:30:00,268.26872441299287
2021-05-22 05:30:00,255.5986319688816
2021-05-23 05:30:00,257.5494843947107
2021-05-24 05:30:00,271.1027585513496
2021-05-25 05:30:00,270.36801887270485
2021-05-26 05:30:00,262.4362066310565
2021-05-27 05:30:00,256.13672125760576
2021-05-28 05:30:00,265.98749234975224
2021-05-29 05:30:00,267.54639561906447
2021-05-30 05:30:00,269.68844746646863
2021-05-31 05:30:00,264.5237348946932
2021-06-01 05:30:00,267.09539941937936
2021-06-02 05:30:00,257.0826820384869
2021-06-03 05:30:00,263.316376189611
2021-06-04 05:30:00,262.42244417226067
2021-06-05 05:30:00,265.31639158549194
2021-06-06 05:30:00,252.62823628531163
2021-06-07 05:30:00,225.73121394260664
2021-06-08 05:30:00,251.43403665281303
2021-06-09 05:30:00,255.6462174530328
2021-06-10 05:30:00,244.83140489247842
2021-06-11 05:30:00,256.7474589551724
2021-06-12 05:30:00,257.05714502482937
2021-06-13 05:30:00,261.7317827052177
2021-06-14 05:30:00,254.94968655456918
2021-06-15 05:30:00,262.79118535495786
2021-06-16 05:30:00,260.71848953088494
2021-06-17 05:30:00,252.40709081893783
2021-06-18 05:30:00,256.8457454438002
2021-06-19 05:30:00,207.38134742951806
2021-06-20 05:30:00,188.96707009805812
2021-06-21 05:30:00,225.65550573113472
2021-06-22 05:30:00,166.7467176226781
2021-06-23 05:30:00,108.82125176251188
2021-06-24 05:30:00,200.07201237655602
2021-06-25 05:30:00,211.25889997051542
2021-06-26 05:30:00,218.56900942683524
2021-06-27 05:30:00,231.24831741394482
2021-06-28 05:30:00,218.71305717246068
2021-06-29 05:30:00,212.87348663281944
2021-06-30 05:30:00,197.95413361443363
2021-07-01 05:30:00,199.6027111801279
2021-07-02 05:30:00,203.42922270911765
2021-07-03 05:30:00,208.40004285504165
2021-07-04 05:30:00,220.43204660834067
2021-07-05 05:30:00,223.57664768805063
2021-07-06 05:30:00,224.62823292888953
2021-07-07 05:30:00,219.3434443488765
2021-07-08 05:30:00,212.13835717199242
2021-07-09 05:30:00,234.50584266379394
2021-07-10 05:30:00,234.1281308291442
2021-07-11 05:30:00,220.43737238689505
2021-07-12 05:30:00,224.82917409563422
2021-07-13 05:30:00,208.65625340209388
2021-07-14 05:30:00,229.52257937297298
2021-07-15 05:30:00,237.6267857732827
2021-07-16 05:30:00,241.26140313671004
2021-07-17 05:30:00,234.4488194787131
2021-07-18 05:30:00,228.6502195669302
2021-07-19 05:30:00,233.1998954852807
2021-07-20 05:30:00,239.4928553886806
2021-07-21 05:30:00,235.51571066194788
2021-07-22 05:30:00,220.16773701016018
2021-07-23 05:30:00,242.99639030244103
2021-07-24 05:30:00,232.8721161810527
2021-07-25 05:30:00,235.51858851923086
2021-07-26 05:30:00,226.4570707347901
2021-07-27 05:30:00,237.33493130196504
2021-07-28 05:30:00,237.2411592072374
2021-07-29 05:30:00,236.79687514331977
2021-07-30 05:30:00,239.66540386539043
